Abstract ID,Type,Category,Title,Country,Presenting,Status
20250032,Any presentation,Radiobiology,USP18 promotes nasopharyngeal carcinoma radioresistance by TRIM29 oligomerization and ubiquitination,China,Yin Zhao ,Submitted
20250033,oral presentation,Gynecologic malignancy,The Endoscopy Results of RhSOD in CCRT for Cervical Cancer to Prevent Acute Rectal Injury,China,Jiawei Zhu ,Reviewed
20250034,oral presentation,Head and Neck,Improving risk stratification in oropharyngeal cancer by assessing initial metastasis risk,China,Chuanhao Zhang ,Reviewed
20250035,Any presentation,Breast,Prospective cohort to validate predictive models for esophagitis in breast cancer patients,China,Dan-Qiong Wang ,Reviewed
20250036,Any presentation,Lung (including other thoracic tumors),Clinical Outcomes of Peripheral Lung SBRT Using the Free-Breathing Internal Target Volume,Malaysia,OOI PO LIN ,Reviewed
20250037,Any presentation,Breast,Voxel-based analysis unveils the optimal esophagus contouring to predict radiation esophagitis,China,Dan-Qiong Wang ,Reviewed
20250038,Any presentation,Breast,Dosimetric and clinical predictors for radiation esophagitis in breast cancer patients,China,Dan-Qiong Wang ,Reviewed
20250039,Any presentation,Head and Neck,Role of PDL-1 Expression in Head & Cancer Patient- As a Prognostic Indicator,India,ANU TIWARI ,Reviewed
20250040,oral presentation,Palliation,Uncovering the burden of vitamin D deficiency in cancer patients: A call for targeted guidelines,Bangladesh,Dr. Suriana Sultana ,Reviewed
20250041,Any presentation,Physics,Accuracy Study of Deep Learning-Based Synthetic CT Images for Adaptive Radiotherapy of Pelvic Tumors,China,Wenchao Gao ,Reviewed
20250042,oral presentation,GU,Status and challenges of prostate radiotherapy: institutional insights and reflections,Bangladesh,Dr. Suriana Sultana ,Reviewed
20250043,Any presentation,GU,Patterns and Risk Factors of Locoregional Recurrence After Radical Nephrectomy for Localized RCC,China,Ke Hu ,Reviewed
20250044,digital poster,Other,Impact of addition of NonCoplanar Volume Modulated Partial Arcs in Spine SBRT & Dosimetric Advantage,India,Chomal Manish  ,Reviewed
20250045,oral presentation,GU,Preclinical Evaluation of an In Situ Biomimetic Radioprotective Absorbable Gel for Prostate RT,China,Mingwei Ma ,Reviewed
20250046,oral presentation,GU,Interim Analysis of RT+ADT+Docetaxel vs RT+ADT+NHT in High-Gleason Non-Metastatic Prostate Cancer,China,Mingwei Ma ,Reviewed
20250047,Any presentation,GU,Interim Analysis of the Phase II Study Triple Combination Therapy in Recurrent/Metastatic RCC,China,KE HU ,Reviewed
20250050,oral presentation,Radiobiology,SHFRT improves local control & reduces metastasis with PD-1 blockade,China,Shanshi Li ,Submitted
20250051,digital poster,Physics,In vivo comparison of tissue-specific stopping power ratio between dual- and single-energy CT.,Korea South,Ji-hoon Jung ,Reviewed
20250052,oral presentation,Head and Neck,Toripalimab Combination Therapy Without Concurrent Cisplatin for Nasopharyngeal Carcinoma,China,Jun Ma ,Reviewed
20250053,digital poster,Head and Neck,Agreement in Therapeutic Recommendations Among Oncologists and AI models of Nasopharyngeal Carcinoma,China,Dunhuang Wang ,Submitted
20250054,oral presentation,Lower GI,Impact of Radiation Dose on Survival and Toxicity in Neoadjuvant Chemoradiotherapy for Rectal Cancer,China,Weiting Huang ,Reviewed
